param_132,type,is_measured,normal_values,% of normal values,param dist.
16907,AC,1,0.39,21,685
757,AC/DC,0,0.85,80,458
533,AC/DC,0,0.56,7,505
649,AC/DC,0,0.79,100,879
105,AC/DC,0,0.55,78,710
611,AC/DC,0,0.19,53,517
18207,AC,1,0.98,13,67
2669,AC,1,0.53,40,167
487,AC/DC,1,0.75,28,842
708,AC/DC,0,0.43,58,947
76,AC/DC,0,0.57,76,414
647,AC,0,0.75,18,733
7432,AC,1,0.4,37,577
16454,AC,1,0.92,5,623
233,AC,0,0.13,42,638
492,AC/DC,0,0.76,17,193
126,AC/DC,0,0.15,27,264
288,AC/DC,1,0.6,21,220
13265,AC,1,0.5,51,46
127,AC/DC,0,0.94,32,809
992,AC/DC,0,0.03,58,938
598,AC/DC,0,0.71,25,783
4211,AC/DC,1,0.89,87,87
11905,AC,0,0.45,26,593
537,AC,1,0.71,46,834
368,AC/DC,1,0.03,48,441
205,AC/DC,0,0.45,93,502
285,AC/DC,0,0.05,44,802
2,AC/DC,0,0.28,33,798
16831,AC,1,0.31,20,595
10869,AC,1,0.29,32,428
16589,AC,0,0.51,62,160
494,AC/DC,0,0.45,12,868
9452,AC,1,0.26,41,247
182,AC/DC,0,0.6,87,424
1953,AC,1,0.88,3,866
730,AC/DC,1,0.21,70,251
856,AC/DC,0,0.8,5,629
306,AC/DC,0,0.7,4,926
11988,AC,1,0.08,41,595
15152,AC,1,0.88,76,497
9459,AC/DC,1,0.18,49,458
16110,AC,0,0.47,54,541
723,AC/DC,0,0.92,79,794
16656,AC/DC,1,0.52,45,462
8805,AC,1,0.55,86,613
454,AC/DC,0,0.93,72,757
206,AC/DC,0,0.31,65,578
308,AC/DC,1,0.4,98,457
865,AC,0,0.17,37,931
702,AC/DC,0,0.3,93,455
307,AC/DC,1,0.18,68,269
31,AC/DC,0,0.49,61,843
2868,AC/DC,1,0.62,30,788
772,AC,0,0.98,87,740
107,AC/DC,0,0.24,41,997
16265,AC,1,0.06,31,273
200,AC/DC,1,0.83,58,125
17898,AC,1,0.36,49,668
141,AC/DC,0,0.23,91,563
770,AC/DC,0,0.31,2,764
916,AC/DC,0,0.74,88,230
2585,AC/DC,0,0.38,80,511
7542,AC,1,0.81,92,344
764,AC/DC,0,0.84,25,204
775,AC/DC,0,0.15,74,321
710,AC/DC,0,0.87,41,286
535,AC,0,0.52,65,838
1,AC/DC,0,0.31,22,473
214,AC/DC,0,0.41,19,71
701,AC/DC,0,0.07,1,551
952,AC/DC,1,0.13,47,215
813,AC/DC,0,0.75,27,479
678,AC,0,0.79,31,381
181,AC,0,0.28,98,316
448,AC/DC,0,0.35,60,284
144,AC/DC,1,0.78,14,472
16889,AC,1,0.62,47,748
647,AC/DC,0,0.77,19,119
10821,AC,1,0.85,70,206
14474,AC,1,0.01,92,895
17926,AC,1,0.27,59,261
533,AC/DC,0,0.94,30,538
229,AC/DC,0,0.81,55,417
9779,AC,1,0.5,65,178
702,AC/DC,0,0.15,42,700
591,AC/DC,0,0.63,70,727
173,AC/DC,0,0.9,30,829
977,AC/DC,0,0.31,72,336
860,AC/DC,0,0.08,48,903
925,AC/DC,0,0.71,99,668
24,AC/DC,0,0.42,21,646
990,AC/DC,0,0.15,37,645
63,AC/DC,0,0.36,90,787
995,AC/DC,0,0.37,55,982
9,AC/DC,0,0.2,37,423
18836,AC,1,0.03,0,366
547,AC/DC,0,0.05,15,597
664,AC/DC,0,0.51,39,216
16698,AC,1,0.05,46,475
94,AC/DC,0,0.98,16,901
10219,AC,1,0.84,15,575
937,AC/DC,0,0.22,43,808
743,AC/DC,1,0.04,75,618
53,AC/DC,0,0.53,68,268
8133,AC,1,0.58,83,461
182,AC,0,0.89,6,615
876,AC/DC,0,0.37,3,840
18637,AC,1,0.31,89,80
13601,AC,1,0.55,78,617
272,AC/DC,0,0.36,53,174
13285,AC,1,0.16,7,517
109,AC/DC,0,0.64,41,774
952,AC/DC,1,0.15,89,899
53,AC/DC,0,0.15,5,403
24,AC/DC,0,0.05,80,628
890,AC/DC,0,0.35,87,956
16,AC/DC,1,0.11,2,94
112,AC/DC,0,0.58,29,229
753,AC/DC,0,0.09,77,84
7814,AC,1,0.94,70,969
1797,AC,0,0.01,93,974
9328,AC,1,0.34,63,243
262,AC/DC,1,0.28,32,699
4236,AC,1,0.91,15,1
215,AC/DC,0,0.92,59,712
16824,AC,1,0.07,5,707
439,AC/DC,1,0.99,63,822
175,AC/DC,0,0.0,16,692
13212,AC/DC,1,0.66,31,652
11550,AC,1,0.11,54,945
13108,AC,1,0.89,31,452
262,AC,0,0.77,22,937
880,AC,0,0.98,1,760
837,AC/DC,0,0.74,91,175
869,AC/DC,0,0.8,9,489
89,AC/DC,0,0.24,67,93
12855,AC,1,0.49,99,69
762,AC/DC,0,0.85,73,459
2657,AC,1,0.43,47,240
370,AC/DC,0,0.23,100,4
242,AC/DC,0,0.3,85,29
2248,AC,1,0.07,19,892
19730,AC,1,0.5,35,513
6930,AC,0,0.85,47,944
599,AC/DC,0,0.65,29,93
9672,AC,1,0.82,40,2
92,AC/DC,0,0.64,57,760
9344,AC,1,0.4,14,242
785,AC/DC,0,0.69,73,444
6,AC/DC,0,0.11,28,823
90,AC/DC,1,0.26,18,794
8591,AC,1,0.63,95,713
155,AC/DC,0,0.3,24,986
9455,AC,1,0.7,22,477
17659,AC,1,0.45,61,904
3820,AC,0,0.03,51,763
696,AC/DC,0,0.47,9,997
1947,AC,1,0.92,75,995
15701,AC,1,0.02,19,892
16663,AC,1,0.82,29,440
8497,AC,1,0.62,29,523
14426,AC,0,0.27,11,415
133,AC/DC,0,0.0,0,831
532,AC/DC,1,0.25,1,584
101,AC/DC,0,0.19,43,594
16614,AC,0,0.51,29,310
703,AC/DC,0,0.29,73,656
322,AC,0,0.0,57,426
12756,AC,1,0.68,35,275
333,AC/DC,0,0.54,72,449
1885,AC,1,0.31,74,250
330,AC/DC,0,0.16,37,607
6756,AC,1,0.67,44,613
11509,AC,1,0.05,25,585
292,AC/DC,0,0.66,64,640
317,AC/DC,0,0.52,31,834
846,AC/DC,0,0.18,19,986
189,AC/DC,0,0.57,7,394
19986,AC,0,0.83,79,390
587,AC/DC,0,0.38,11,315
8240,AC,0,0.38,40,489
139,AC/DC,0,0.33,92,334
11750,AC,1,0.23,82,968
250,AC/DC,0,0.66,43,860
925,AC/DC,0,0.41,54,732
433,AC/DC,0,0.24,70,288
103,AC/DC,0,0.31,63,537
243,AC/DC,0,0.63,46,497
17644,AC,1,0.82,79,33
4359,AC,1,0.39,72,907
631,AC,0,0.54,11,160
381,AC/DC,1,0.78,84,697
15615,AC,1,0.26,38,515
450,AC/DC,0,0.37,66,878
16744,AC,0,0.58,81,325
539,AC/DC,0,0.5,51,483
809,AC/DC,0,0.88,11,16
16905,AC,0,0.51,75,793
16196,AC,0,0.03,49,876
6669,AC/DC,1,0.35,63,945
796,AC/DC,0,0.35,95,236
252,AC/DC,0,0.34,40,75
9983,AC,1,0.9,89,85
974,AC/DC,0,0.9,49,111
592,AC/DC,0,0.03,99,775
19059,AC,1,0.55,32,422
6289,AC/DC,1,0.95,79,334
3899,AC,1,0.01,34,835
3994,AC,1,0.11,15,210
923,AC,0,0.72,8,755
11515,AC,1,0.53,54,492
729,AC/DC,0,0.2,77,854
9006,AC,1,0.6,36,201
6,AC,0,0.65,86,80
15789,AC,1,0.8,74,678
8453,AC/DC,1,0.4,39,320
534,AC/DC,0,0.64,40,202
894,AC/DC,0,0.97,55,900
254,AC/DC,0,0.18,26,62
6862,AC,1,0.65,41,555
923,AC/DC,0,0.82,44,935
42,AC/DC,0,0.0,95,726
523,AC/DC,0,0.58,26,775
171,AC/DC,0,0.31,68,217
778,AC/DC,0,0.57,26,70
12018,AC,1,0.21,97,352
784,AC,0,0.84,49,995
214,AC/DC,0,0.36,54,619
654,AC,0,0.25,58,105
553,AC/DC,0,0.15,43,860
12990,AC,0,0.78,11,482
18228,AC,0,0.02,2,473
5833,AC,1,0.59,31,803
536,AC/DC,1,0.97,66,116
19041,AC,1,0.15,50,451
209,AC/DC,0,0.45,91,382
2849,AC,1,0.85,9,481
166,AC/DC,0,0.62,64,765
9236,AC,1,0.57,95,708
699,AC/DC,0,0.43,46,131
7858,AC,1,0.12,56,231
9823,AC,1,0.89,37,256
688,AC/DC,0,0.69,95,757
501,AC/DC,0,0.52,86,728
188,AC,0,0.94,11,238
477,AC,0,0.79,21,99
158,AC/DC,0,0.53,23,449
811,AC/DC,0,0.35,67,874
3861,AC,1,0.63,0,39
823,AC/DC,0,0.12,58,378
503,AC/DC,0,0.32,49,688
685,AC/DC,0,0.5,40,288
18965,AC,1,0.61,43,790
5625,AC,1,0.09,5,686
15282,AC,1,0.19,40,344
458,AC/DC,0,0.49,11,748
180,AC/DC,0,0.4,85,490
270,AC/DC,0,0.48,33,328
124,AC/DC,0,0.02,61,240
5810,AC,1,0.64,58,583
11531,AC,1,0.98,16,605
10041,AC,1,0.95,25,372
204,AC/DC,0,0.84,65,346
620,AC/DC,1,0.06,26,636
803,AC/DC,0,0.37,52,566
16634,AC,1,0.57,93,651
18695,AC,1,0.2,52,78
12778,AC,1,0.63,66,570
727,AC/DC,1,0.71,79,537
677,AC/DC,0,0.76,65,284
9131,AC,1,0.73,16,921
11570,AC,1,0.98,83,109
9,AC/DC,0,0.98,57,187
19144,AC,1,0.24,8,775
5329,AC,0,0.94,51,875
437,AC/DC,0,0.26,50,627
1455,AC,1,0.1,74,743
17185,AC,1,0.34,73,933
70,AC/DC,0,0.14,56,763
17883,AC/DC,1,0.62,42,402
3700,AC,1,0.56,29,878
18968,AC,1,0.27,52,367
5264,AC,1,0.18,68,599
634,AC/DC,0,0.32,56,605
402,AC/DC,0,0.13,60,13
835,AC/DC,0,0.98,12,628
841,AC/DC,0,0.25,22,6
8580,AC,1,0.7,0,672
246,AC/DC,0,0.8,45,927
1906,AC,1,0.06,13,301
11024,AC,1,0.6,74,129
5900,AC,1,0.64,32,869
636,AC/DC,0,0.61,63,462
3422,AC,1,0.92,90,901
11838,AC,1,0.3,39,657
921,AC/DC,1,0.44,84,179
953,AC/DC,0,0.49,75,224
999,AC/DC,0,0.99,18,575
67,AC/DC,0,0.96,71,340
802,AC/DC,0,0.82,96,7
1374,AC,1,0.83,79,82
12584,AC,1,0.32,97,568
717,AC/DC,1,0.0,92,149
827,AC/DC,0,0.11,46,515
46,AC,0,0.5,12,748
14859,AC,1,0.73,4,721
974,AC/DC,1,0.38,30,584
937,AC/DC,0,0.5,33,97
116,AC/DC,0,0.22,95,302
5341,AC,1,0.04,30,30
532,AC,0,0.98,96,794
3000,AC,1,0.0,59,245
789,AC/DC,0,0.66,23,113
484,AC/DC,0,0.52,52,791
613,AC/DC,0,0.3,28,325
712,AC/DC,0,0.38,62,510
6900,AC/DC,1,0.27,96,559
5171,AC,1,0.58,35,76
13699,AC,1,0.1,7,161
322,AC/DC,0,0.05,94,471
3091,AC/DC,1,0.63,68,51
13644,AC,1,0.5,74,616
564,AC,0,0.73,56,30
9951,AC,1,0.13,72,784
103,AC/DC,1,0.02,63,75
991,AC/DC,0,0.51,99,930
9491,AC,1,0.03,16,1
781,AC/DC,0,0.24,36,303
680,AC/DC,0,0.63,61,154
861,AC/DC,0,0.28,4,558
806,AC/DC,0,0.67,33,789
1,AC/DC,0,0.19,34,309
889,AC/DC,0,1.0,7,333
19886,AC,0,0.44,15,742
804,AC/DC,1,0.52,41,164
479,AC,0,0.82,5,656
730,AC,0,0.13,67,592
13635,AC,1,0.42,94,58
378,AC/DC,0,0.0,33,119
10075,AC,1,0.12,49,33
9372,AC,1,0.29,48,870
452,AC/DC,0,0.34,67,715
345,AC/DC,0,0.29,3,477
14416,AC,1,0.32,93,813
901,AC/DC,1,0.69,38,328
12883,AC,1,0.65,90,878
4795,AC,1,0.58,71,467
699,AC,1,0.56,24,778
155,AC/DC,0,0.86,91,97
630,AC/DC,0,0.11,0,42
460,AC/DC,0,0.73,41,658
641,AC/DC,0,0.27,51,180
3103,AC,1,0.67,16,588
432,AC/DC,0,0.52,77,122
1619,AC,1,0.58,91,167
992,AC/DC,0,0.01,87,547
241,AC/DC,0,0.55,57,808
6609,AC,1,0.87,24,279
1487,AC,1,0.73,62,226
743,AC/DC,0,0.43,83,68
263,AC/DC,0,0.26,43,306
4671,AC,1,0.28,73,742
1,AC/DC,0,0.86,4,204
19019,AC,1,0.45,78,400
273,AC/DC,0,0.9,92,766
203,AC/DC,0,0.15,2,604
11619,AC,1,0.21,10,793
437,AC/DC,0,0.65,9,588
10383,AC/DC,1,0.7,12,642
994,AC/DC,0,0.6,69,845
13793,AC,0,0.98,77,435
786,AC/DC,0,0.46,91,413
6660,AC,1,0.23,39,262
58,AC/DC,0,0.26,78,626
578,AC/DC,0,0.24,22,671
4601,AC/DC,1,0.99,12,33
7378,AC,1,0.84,33,439
992,AC/DC,0,0.91,17,179
1,AC/DC,0,0.94,8,909
515,AC/DC,0,0.21,2,705
977,AC/DC,0,0.99,2,681
18035,AC,1,0.28,24,923
15025,AC/DC,1,0.32,4,279
741,AC/DC,0,0.94,1,442
1900,AC,1,0.06,53,125
729,AC/DC,0,0.07,75,153
4277,AC,1,0.75,66,181
155,AC/DC,0,0.46,93,785
10177,AC,1,0.37,15,234
397,AC/DC,0,0.01,64,153
753,AC/DC,0,0.84,12,676
18921,AC,0,0.72,56,447
358,AC/DC,0,0.6,90,310
18,AC/DC,0,0.5,98,120
192,AC/DC,0,0.43,98,793
728,AC/DC,0,0.87,63,748
737,AC/DC,0,0.53,19,607
175,AC/DC,1,0.35,71,560
221,AC/DC,0,0.6,5,86
4439,AC,1,0.25,26,66
928,AC/DC,0,0.76,53,484
1825,AC,0,0.37,67,26
579,AC/DC,0,0.85,39,639
283,AC/DC,0,0.53,38,132
14009,AC,1,0.52,82,651
12559,AC,1,0.54,47,790
2614,AC,1,0.81,8,0
18832,AC,1,0.44,23,415
212,AC/DC,0,0.83,16,170
286,AC,1,0.21,89,724
485,AC/DC,0,0.52,78,909
398,AC/DC,1,1.0,93,320
798,AC/DC,0,0.61,9,337
1809,AC,1,0.78,73,306
10013,AC,1,0.8,32,700
5736,AC,1,0.72,73,198
326,AC/DC,0,0.17,45,149
424,AC/DC,1,0.64,1,14
119,AC/DC,0,0.03,24,172
639,AC/DC,0,0.85,72,247
11400,AC,1,0.36,10,531
17943,AC,1,0.79,94,933
419,AC/DC,0,0.2,63,932
11425,AC,1,0.95,70,274
1,AC/DC,0,0.14,60,919
370,AC/DC,0,0.08,70,795
17205,AC,1,0.44,39,295
231,AC/DC,0,0.36,55,444
3676,AC/DC,1,0.25,98,654
3357,AC/DC,1,0.81,57,126
10677,AC,0,0.08,39,405
15201,AC,1,0.66,50,615
453,AC,0,0.13,90,342
10241,AC,1,0.48,8,536
195,AC/DC,0,0.56,81,776
18307,AC,1,0.48,88,309
726,AC,0,0.06,65,583
767,AC/DC,0,0.71,41,692
217,AC/DC,0,0.58,67,902
523,AC/DC,1,0.41,10,192
78,AC/DC,1,0.84,48,887
7686,AC,1,0.19,40,898
377,AC/DC,0,0.76,61,760
106,AC/DC,0,0.73,20,624
17690,AC,1,0.78,87,953
945,AC/DC,1,0.66,28,337
382,AC/DC,0,0.54,85,460
522,AC,0,0.37,60,59
824,AC/DC,0,0.96,23,857
18157,AC,1,0.0,18,556
16990,AC,0,0.6,31,874
427,AC,0,0.3,55,843
381,AC/DC,0,0.66,28,526
725,AC/DC,0,0.7,26,914
350,AC/DC,0,0.19,58,667
705,AC/DC,0,0.28,55,203
6950,AC,1,0.54,68,578
736,AC/DC,0,0.99,51,531
15673,AC/DC,1,0.45,89,528
469,AC/DC,0,0.82,66,795
16474,AC/DC,1,0.27,11,632
43,AC/DC,0,0.56,55,478
237,AC/DC,0,0.13,32,887
424,AC/DC,0,0.37,93,429
600,AC/DC,0,0.59,37,384
561,AC/DC,0,0.74,36,80
62,AC/DC,0,0.34,59,406
7609,AC,1,0.13,41,359
879,AC/DC,0,0.5,59,182
742,AC/DC,0,0.57,91,563
100,AC/DC,0,0.15,45,838
2017,AC,1,0.81,74,497
18925,AC/DC,0,0.79,13,90
13138,AC,1,0.07,59,145
14393,AC/DC,1,0.77,72,484
558,AC/DC,0,0.39,34,348
218,AC/DC,0,0.7,17,460
9508,AC,1,0.19,18,383
204,AC/DC,0,0.33,58,283
572,AC/DC,0,0.72,10,523
513,AC/DC,0,0.95,14,468
7138,AC,1,0.05,53,667
14981,AC,1,0.92,2,653
610,AC/DC,0,0.55,52,558
987,AC/DC,0,0.44,78,688
8,AC/DC,0,0.35,11,805
423,AC/DC,0,0.7,31,907
6180,AC,0,0.3,82,149
636,AC,0,0.92,8,630
768,AC/DC,0,0.84,14,946
9858,AC,1,0.14,77,442
658,AC/DC,0,0.62,11,340
370,AC/DC,0,0.28,8,1000
19400,AC,1,0.97,95,844
290,AC/DC,0,0.59,27,894
8270,AC,1,0.75,11,636
8399,AC,1,0.63,40,933
502,AC/DC,0,0.38,5,137
517,AC/DC,0,0.0,88,270
381,AC/DC,0,0.55,63,280
5427,AC,1,0.08,92,311
17019,AC,1,0.94,71,9
13023,AC,1,0.73,6,75
1605,AC,1,0.55,64,270
986,AC/DC,0,0.21,58,2
7876,AC,1,0.96,100,315
537,AC,0,0.6,97,658
108,AC/DC,0,0.22,25,55
14511,AC,0,0.83,66,138
810,AC/DC,0,0.65,16,161
17275,AC,1,0.79,43,180
927,AC/DC,0,0.03,50,731
567,AC/DC,0,0.46,98,459
269,AC,0,0.97,100,352
53,AC/DC,0,0.79,67,137
538,AC/DC,0,0.62,80,84
3467,AC,1,0.37,92,27
902,AC/DC,0,0.14,7,316
14285,AC,0,0.43,76,397
676,AC/DC,0,0.34,46,659
12606,AC,1,0.07,94,640
206,AC/DC,0,0.9,20,91
392,AC/DC,0,0.42,2,678
1379,AC,1,0.03,60,412
278,AC/DC,0,0.91,91,635
652,AC/DC,0,0.36,98,696
143,AC/DC,1,0.17,57,769
939,AC/DC,0,0.32,50,654
820,AC/DC,0,0.82,46,50
488,AC/DC,0,0.09,72,523
886,AC/DC,0,0.19,23,114
419,AC/DC,0,0.05,11,635
14956,AC,1,0.52,39,24
6997,AC,1,0.06,86,545
700,AC/DC,0,0.39,10,701
375,AC/DC,0,0.49,60,889
563,AC/DC,0,0.3,13,256
656,AC/DC,0,0.56,94,118
12821,AC,0,0.82,97,945
100,AC/DC,0,0.02,80,685
359,AC/DC,0,0.86,42,642
10937,AC,1,0.36,17,432
238,AC/DC,0,0.3,40,542
15041,AC/DC,1,0.64,61,157
285,AC/DC,1,0.88,56,182
4284,AC,1,0.16,65,133
17477,AC/DC,1,0.48,18,217
627,AC/DC,0,0.46,8,958
84,AC/DC,0,0.85,64,745
1985,AC,1,0.16,27,118
13401,AC,1,0.54,76,13
755,AC/DC,0,0.06,72,889
415,AC/DC,0,0.68,53,964
438,AC/DC,0,0.59,83,29
481,AC,0,0.15,26,321
624,AC,0,0.33,0,12
544,AC/DC,0,0.41,0,870
400,AC,0,0.18,18,25
12406,AC,1,0.83,43,517
539,AC/DC,0,0.4,16,36
14627,AC,1,0.83,48,694
639,AC/DC,0,0.56,51,54
518,AC/DC,0,0.26,28,988
6947,AC,1,0.32,67,561
11761,AC,1,0.43,21,928
382,AC/DC,0,0.09,100,423
20,AC/DC,0,0.62,13,677
553,AC/DC,0,0.38,98,979
258,AC/DC,0,0.9,100,851
846,AC,0,0.24,68,540
10784,AC,1,0.36,89,658
15200,AC,1,0.47,16,752
225,AC/DC,0,0.35,70,146
225,AC/DC,0,0.15,27,250
13246,AC,1,0.43,61,739
16298,AC/DC,1,0.79,91,270
31,AC/DC,0,0.32,15,937
1614,AC/DC,1,0.19,86,711
11583,AC,1,0.98,8,174
1618,AC/DC,1,0.38,62,509
699,AC/DC,0,0.07,54,682
347,AC/DC,0,0.12,2,40
4382,AC,1,0.67,18,662
5840,AC/DC,1,0.91,67,652
7355,AC,1,0.6,13,320
923,AC/DC,1,0.49,36,141
9257,AC,1,0.82,33,14
689,AC/DC,0,0.29,84,945
14791,AC,1,0.67,31,490
16371,AC,1,0.46,36,104
308,AC/DC,1,0.39,85,335
200,AC/DC,0,0.09,18,733
550,AC/DC,0,0.51,9,66
501,AC/DC,0,0.39,30,977
207,AC/DC,0,0.59,16,717
15959,AC,0,0.67,4,82
2735,AC,1,0.86,66,473
699,AC/DC,0,0.43,41,543
245,AC/DC,1,0.41,46,548
11938,AC,1,0.95,68,173
950,AC/DC,0,0.81,62,519
800,AC/DC,0,0.95,45,701
959,AC/DC,0,0.57,9,898
688,AC,0,0.47,72,374
2251,AC,0,0.23,22,940
11760,AC,1,0.57,5,545
2244,AC,1,0.67,57,194
562,AC/DC,0,0.86,34,280
7372,AC,1,0.06,27,530
394,AC/DC,1,0.79,65,546
16196,AC,1,0.83,56,613
2089,AC,1,0.22,4,192
882,AC/DC,0,0.46,93,83
1557,AC,1,0.85,95,820
899,AC/DC,0,0.21,11,685
234,AC/DC,0,0.71,44,211
6813,AC,1,0.34,35,466
340,AC/DC,0,0.0,40,16
223,AC/DC,1,0.89,24,752
984,AC/DC,0,0.83,2,279
585,AC/DC,0,0.0,26,662
11016,AC,1,0.35,7,236
2211,AC,1,0.48,96,129
434,AC/DC,0,0.67,85,804
591,AC/DC,0,0.03,26,788
490,AC/DC,0,0.3,85,179
554,AC/DC,0,0.04,39,536
614,AC/DC,0,0.8,30,552
18684,AC,0,0.63,14,974
16108,AC,1,0.48,54,816
622,AC/DC,0,0.92,58,853
259,AC/DC,0,0.15,73,434
307,AC/DC,0,0.37,63,272
142,AC/DC,0,0.21,96,557
62,AC,0,0.74,28,447
306,AC/DC,0,0.81,44,464
981,AC/DC,0,0.86,7,287
396,AC/DC,0,0.64,78,951
454,AC/DC,0,0.72,14,777
6815,AC,0,0.95,48,963
469,AC/DC,0,0.71,32,600
268,AC/DC,0,0.94,8,261
6336,AC,1,0.35,42,648
11612,AC,1,0.59,30,927
962,AC/DC,1,0.55,26,138
848,AC/DC,0,0.81,40,864
8061,AC,0,0.63,0,177
291,AC/DC,0,0.3,13,481
16159,AC,1,0.76,68,941
6731,AC,1,0.48,14,903
665,AC/DC,0,1.0,55,438
9965,AC/DC,1,0.98,96,430
2048,AC,1,0.25,80,379
1515,AC,1,0.63,92,953
19533,AC,1,0.08,67,347
15868,AC,1,0.17,9,432
7176,AC,1,0.83,19,3
16877,AC/DC,1,0.86,24,287
346,AC/DC,0,0.65,38,832
34,AC/DC,0,0.83,58,256
187,AC/DC,0,0.68,44,584
19613,AC,1,0.92,65,982
63,AC/DC,0,0.36,74,670
965,AC/DC,0,0.11,53,706
618,AC/DC,0,0.37,28,755
11,AC/DC,1,0.28,88,578
3510,AC,1,0.12,5,178
5114,AC,0,0.22,59,50
234,AC/DC,0,0.84,48,260
14376,AC,1,0.81,14,582
19108,AC,1,0.2,98,513
866,AC/DC,0,0.58,40,874
369,AC/DC,0,0.03,31,635
223,AC/DC,0,0.72,47,610
315,AC/DC,0,0.98,32,609
909,AC/DC,0,0.23,8,426
435,AC/DC,0,0.83,12,981
310,AC/DC,0,0.69,74,332
863,AC,1,0.09,4,288
808,AC/DC,1,0.41,72,356
707,AC/DC,0,0.11,89,543
326,AC/DC,0,0.35,6,43
18341,AC,1,0.83,58,16
602,AC/DC,0,0.11,12,157
675,AC/DC,0,0.25,40,563
4716,AC,0,0.18,13,476
145,AC/DC,0,0.03,32,770
828,AC/DC,0,0.59,90,295
645,AC/DC,0,0.29,62,762
25,AC/DC,0,0.12,2,245
92,AC/DC,0,0.83,4,854
513,AC/DC,0,0.07,67,835
8876,AC/DC,1,0.0,99,842
170,AC/DC,0,0.91,93,439
4946,AC,1,0.9,42,602
15471,AC,1,0.37,63,1000
451,AC/DC,0,0.13,66,190
297,AC/DC,0,0.43,15,23
886,AC/DC,0,0.21,65,157
710,AC/DC,0,0.54,42,286
310,AC/DC,0,0.71,11,444
529,AC/DC,0,0.13,65,817
466,AC/DC,0,0.79,100,42
706,AC/DC,0,0.15,4,103
377,AC/DC,0,0.34,55,583
8786,AC,0,0.39,68,691
756,AC/DC,0,0.35,0,468
107,AC,0,0.13,16,301
15462,AC,1,0.64,41,794
